name,activity,inside,nature,photo,cafe
제주중문관광단지,0,0,0,1,0
제주커피수목원,0,1,1,1,0
제주코코몽에코파크 (휴업중),1,1,0,1,0
제주탐나라공화국,0,0,1,1,0
제주허브동산,1,0,1,1,0
제지기오름,1,0,1,1,0
조천만세동산,0,0,0,1,0
종달리수국길,1,0,1,1,0
중문미로파크,1,0,1,1,0
중문색달해수욕장,1,0,1,1,0
지금이순간,0,1,1,1,1
진지동굴,1,0,1,1,0
짱구네 유채꽃밭,0,0,1,1,0
쪼끌락,0,1,1,1,1
천아계곡,1,0,1,1,0
천제연폭포,1,0,1,1,0
천지연폭포,1,0,1,1,0
청굴물,1,0,1,1,0
청수곶자왈,1,0,1,1,0
청춘부부,0,1,0,1,1
최남단체험감귤농장,1,0,1,1,0
추사유배지,0,0,0,1,0
카멜리아힐,0,1,1,1,0
카페 동백,0,1,0,1,1
카페2472,0,1,0,1,1
카페공작소,0,1,0,1,1
카페그라나다,0,1,0,1,1
카페글렌코,0,1,0,1,1
카페노티드 제주애월,0,1,1,1,1
카페더라이트,0,1,0,1,1
카페더콘테나,0,1,0,1,1
카페두가시,0,1,0,1,1
카페라라라,0,1,1,1,1
카페라라라,0,1,0,1,1
카페록록,0,1,1,1,1
카페루시아 본점,0,1,1,1,1
카페리,0,1,0,1,1
카페브리프,0,1,0,1,1
카페서연의집,0,1,1,1,1
카페세렌디,0,1,0,1,1
카페유주,0,1,0,1,1
카페이피엘,0,1,0,1,1
카페주비,0,1,1,1,1
카페진정성 종점,0,1,0,1,1
카페차롱 (휴업중),1,1,0,1,1
카페코지,0,1,0,1,1
카페콜라,0,1,0,1,1
카페태희,0,1,0,1,1
카페한라산,0,1,0,1,1
커피스케치,0,1,0,1,1
커피템플,0,1,0,1,1
커피파인더,0,1,0,1,1
코코티에,0,1,0,1,1
콜로세움카페,0,1,0,1,1
클랭블루,0,1,0,1,1
테라로사 서귀포점,0,1,0,1,1
테쉬폰,0,0,0,1,0
토이파크,1,0,0,1,0
파더스가든,1,0,1,1,0
퍼시픽 리솜 마린스테이지,0,0,0,1,0
표선해수욕장,1,0,1,1,0
풀베개,0,1,0,1,1
프로젝트064다방,0,1,1,1,1
플랏포커피,0,1,0,1,1
하고수동해변,1,0,1,1,0
하논분화구 방문자센터,0,0,1,1,0
하도해변,1,0,1,1,0
하례감귤체험농장,1,0,1,1,0
하르비커피,0,1,0,1,1
하멜기념비,0,0,0,1,0
하모해수욕장,1,0,1,1,0
하이엔드제주,0,1,0,1,1
한담해변,1,0,1,1,0
한라산,1,0,1,1,0
